date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:28	611/611	U--MCZ	200	updated ('OK')	text/plain	date:Thu,%2011%20Jul%202024%2006:33:28%20GMT	https://keiton-store-demo.myshopify.com/robots.txt		(from )
09:33:29	316106/316106	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jul%202024%2006:33:29%20GMT	https://keiton-store-demo.myshopify.com/	C:/My%20Web%20Sites/asdasd/keiton-store-demo.myshopify.com/index.html	(from )
09:33:30	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Jul%202024%2006:33:30%20GMT	http://keiton-store-demo.myshopify.com/cdn/shop/t/6/assets/favicon.png?v=146708612543782368551688631753	C:/My%20Web%20Sites/asdasd/keiton-store-demo.myshopify.com/cdn/shop/t/6/assets/favicon.04df2.delayed	(from https://keiton-store-demo.myshopify.com/)
09:33:30	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Jul%202024%2006:33:31%20GMT	http://keiton-store-demo.myshopify.com/cdn/shop/t/6/assets/icon-for-mobile.png?576	C:/My%20Web%20Sites/asdasd/keiton-store-demo.myshopify.com/cdn/shop/t/6/assets/icon-for-mobile.2a7ae.delayed	(from https://keiton-store-demo.myshopify.com/)
09:33:30	60601/60601	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Jul%202024%2006:33:31%20GMT	https://keiton-store-demo.myshopify.com/cdn/shop/t/6/assets/favicon.png?v=146708612543782368551688631753	C:/My%20Web%20Sites/asdasd/keiton-store-demo.myshopify.com/cdn/shop/t/6/assets/favicon4df2.png	(from https://keiton-store-demo.myshopify.com/)
09:33:31	2770/2770	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jul%202024%2006:33:32%20GMT	https://keiton-store-demo.myshopify.com/cdn/shop/t/6/assets/icon-for-mobile.png?576	C:/My%20Web%20Sites/asdasd/keiton-store-demo.myshopify.com/cdn/shop/t/6/assets/icon-for-mobilea7ae.png	(from https://keiton-store-demo.myshopify.com/)
09:33:32	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Jul%202024%2006:33:32%20GMT	http://keiton-store-demo.myshopify.com/cdn/shop/t/6/assets/icon-for-mobile_57x57.png?576	C:/My%20Web%20Sites/asdasd/keiton-store-demo.myshopify.com/cdn/shop/t/6/assets/icon-for-mobile_57x57.4a7ae.delayed	(from https://keiton-store-demo.myshopify.com/)
09:33:32	2770/2770	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jul%202024%2006:33:33%20GMT	https://keiton-store-demo.myshopify.com/cdn/shop/t/6/assets/icon-for-mobile_57x57.png?576	C:/My%20Web%20Sites/asdasd/keiton-store-demo.myshopify.com/cdn/shop/t/6/assets/icon-for-mobile_57x57a7ae.png	(from https://keiton-store-demo.myshopify.com/)
09:33:32	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Jul%202024%2006:33:33%20GMT	http://keiton-store-demo.myshopify.com/cdn/shop/t/6/assets/icon-for-mobile_60x60.png?576	C:/My%20Web%20Sites/asdasd/keiton-store-demo.myshopify.com/cdn/shop/t/6/assets/icon-for-mobile_60x60.6a7ae.delayed	(from https://keiton-store-demo.myshopify.com/)
09:33:33	2770/2770	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jul%202024%2006:33:34%20GMT	https://keiton-store-demo.myshopify.com/cdn/shop/t/6/assets/icon-for-mobile_60x60.png?576	C:/My%20Web%20Sites/asdasd/keiton-store-demo.myshopify.com/cdn/shop/t/6/assets/icon-for-mobile_60x60a7ae.png	(from https://keiton-store-demo.myshopify.com/)
